step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
76,0.760,0.658250,0.003655,0.463342,0.691211,0.000000,0.567146,0.108973,8.9803,0.190959,0,0
77,0.770,0.664488,0.003409,0.463342,0.699206,0.000000,0.564242,0.106760,10.0152,0.204893,0,0
78,0.780,0.670712,0.003172,0.463342,0.707192,0.000000,0.561177,0.104463,11.0561,0.219503,0,0
79,0.790,0.676922,0.002945,0.463342,0.715160,0.000000,0.557951,0.102086,12.1023,0.234683,0,0
80,0.800,0.683120,0.002726,0.463342,0.723104,0.000000,0.554564,0.099637,13.1532,0.250344,0,0
81,0.810,0.689305,0.002517,0.463342,0.731015,0.000000,0.551017,0.097123,14.2084,0.266416,0,0
82,0.820,0.695478,0.002315,0.463342,0.738886,0.000000,0.547313,0.094555,15.2673,0.282837,0,0
83,0.830,0.701640,0.002121,0.463342,0.746710,0.000000,0.543453,0.091942,16.3292,0.299558,0,0
84,0.840,0.707791,0.001935,0.463342,0.754478,0.000000,0.539438,0.089297,17.3937,0.316535,0,0
85,0.850,0.713930,0.001757,0.463342,0.762186,0.000000,0.535272,0.086635,18.4601,0.333732,0,0
86,0.860,0.720059,0.001584,0.463342,0.769824,0.000000,0.530958,0.083970,19.5280,0.351117,0,0
87,0.870,0.726176,0.001420,0.463342,0.777386,0.000000,0.526498,0.081321,20.5967,0.368661,0,0
88,0.880,0.732281,0.001261,0.463342,0.784866,0.000000,0.521897,0.078711,21.6657,0.386340,0,0
89,0.890,0.738374,0.001107,0.463342,0.792256,0.000000,0.517159,0.076163,22.7345,0.404130,0,0
90,0.900,0.744455,0.000961,0.463342,0.799552,0.000000,0.512287,0.073703,23.8024,0.422011,0,0
91,0.910,0.750523,0.000820,0.463342,0.806745,0.000000,0.507287,0.071364,24.8689,0.439964,0,0
92,0.920,0.756577,0.000685,0.463342,0.813832,0.000000,0.502163,0.069179,25.9335,0.457971,0,0
93,0.930,0.762617,0.000554,0.463342,0.820806,0.000000,0.496921,0.067185,26.9956,0.476017,0,0
94,0.940,0.768556,0.000429,0.457096,0.827662,0.000000,0.491566,0.068424,26.4886,0.467440,0,0
95,0.950,0.774483,0.000310,0.450858,0.834395,0.000000,0.486105,0.069511,25.9904,0.459005,0,0
96,0.960,0.780390,0.000198,0.444635,0.841000,0.000000,0.480542,0.070448,25.5007,0.450705,0,0
97,0.970,0.786269,0.000093,0.438432,0.847473,0.000000,0.474885,0.071237,25.0193,0.442534,0,0
98,0.980,0.792113,-0.000006,0.432257,0.853810,0.000000,0.469140,0.071881,24.5459,0.434487,0,0
99,0.990,0.797915,-0.000099,0.426116,0.860007,0.000000,0.463313,0.072382,24.0801,0.426556,0,0
100,1.000,0.803669,-0.000186,0.420013,0.866062,0.000000,0.457412,0.072743,23.6219,0.418738,0,0
101,1.010,0.809368,-0.000270,0.413956,0.871970,0.000000,0.451444,0.072968,23.1708,0.411026,0,0
102,1.020,0.815008,-0.000346,0.407949,0.877729,0.000000,0.445415,0.073060,22.7269,0.403419,0,0
